sample,total_reads,pathogen,n_reads,order,relative_abundance,median_prevalence,lower_ci,upper_ci,median_incidence,lower_ci_incidence,upper_ci_incidence,ra_1_incidence_median,ra_1_incidence_lower_ci,ra_1_incidence_upper_ci,ra_1_prevalence_median,ra_1_prevalence_lower_ci,ra_1_prevalence_upper_ci
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Flu B,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,H1N1,10,zeroth,1.10E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,H3N2,13,zeroth,1.43E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HMPV-1,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HPIV1,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HPIV2,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HPIV4b,0,zeroth,0,0.001904443786,0.0001118943692,0.009371970856,0.002671308658,0.0001566696473,0.01324488992,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Human coronavirus 229E,11,zeroth,1.21E-08,0.001934935074,0.0001122431619,0.009659003523,0.002261800691,0.0001309650555,0.01137874478,5.35E-08,9.24E-07,1.06E-08,6.26E-08,1.08E-06,1.25E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Human coronavirus HKU1,3,zeroth,3.30E-09,0.001884215771,0.0001116562078,0.009189915365,0.002202401533,0.0001302801223,0.01082101211,1.50E-08,2.53E-07,3.05E-09,1.75E-08,2.96E-07,3.59E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Human coronavirus NL63,6,zeroth,6.60E-09,0.009212865442,0.003004605205,0.02333696846,0.01084828682,0.003515936741,0.02787702853,6.09E-09,1.88E-08,2.37E-09,7.17E-09,2.20E-08,2.83E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Human coronavirus OC43,48,zeroth,5.28E-08,0.012246817,0.004579388487,0.02874023218,0.01446510466,0.005367198388,0.03452245423,3.65E-08,9.84E-08,1.53E-08,4.31E-08,1.15E-07,1.84E-08
