sample	reads
NAO-ONT-20250120-Zephyr8-02-div0001	1023
NAO-ONT-20250120-Zephyr8-02-div0002	602
NAO-ONT-20250120-Zephyr8-02-div0003	1272
NAO-ONT-20250120-Zephyr8-02-div0004	794
NAO-ONT-20250120-Zephyr8-02-div0005	1361
NAO-ONT-20250120-Zephyr8-02-div0006	649
NAO-ONT-20250120-Zephyr8-02-div0007	504
NAO-ONT-20250120-Zephyr8-02-div0008	1308
NAO-ONT-20250120-Zephyr8-02-div0009	864
NAO-ONT-20250120-Zephyr8-02-div0010	887
NAO-ONT-20250120-Zephyr8-02-div0011	791
NAO-ONT-20250120-Zephyr8-02-div0012	892
NAO-ONT-20250120-Zephyr8-02-div0013	754
NAO-ONT-20250120-Zephyr8-02-div0014	612
NAO-ONT-20250120-Zephyr8-02-div0015	499
NAO-ONT-20250120-Zephyr8-02-div0016	530
NAO-ONT-20250120-Zephyr8-02-div0017	1142
NAO-ONT-20250120-Zephyr8-02-div0018	780
NAO-ONT-20250120-Zephyr8-02-div0019	662
NAO-ONT-20250120-Zephyr8-02-div0020	737
NAO-ONT-20250120-Zephyr8-02-div0021	445
NAO-ONT-20250120-Zephyr8-02-div0022	1102
NAO-ONT-20250120-Zephyr8-02-div0023	1169
NAO-ONT-20250120-Zephyr8-02-div0024	1080
NAO-ONT-20250120-Zephyr8-02-div0025	839
NAO-ONT-20250120-Zephyr8-02-div0026	767
NAO-ONT-20250120-Zephyr8-02-div0027	748
NAO-ONT-20250120-Zephyr8-02-div0028	1218
NAO-ONT-20250120-Zephyr8-02-div0029	467
NAO-ONT-20250120-Zephyr8-02-div0030	845
NAO-ONT-20250120-Zephyr8-02-div0031	609
NAO-ONT-20250120-Zephyr8-02-div0032	609
NAO-ONT-20250120-Zephyr8-02-div0033	578
NAO-ONT-20250120-Zephyr8-02-div0034	587
NAO-ONT-20250120-Zephyr8-02-div0035	985
NAO-ONT-20250120-Zephyr8-02-div0036	795
NAO-ONT-20250120-Zephyr8-02-div0037	765
NAO-ONT-20250120-Zephyr8-02-div0038	273
NAO-ONT-20250120-Zephyr8-02-div0039	1163
NAO-ONT-20250120-Zephyr8-02-div0040	1189
NAO-ONT-20250120-Zephyr8-02-div0041	993
NAO-ONT-20250120-Zephyr8-06-div0001	1129
NAO-ONT-20250120-Zephyr8-06-div0002	668
NAO-ONT-20250120-Zephyr8-06-div0003	1755
NAO-ONT-20250120-Zephyr8-06-div0004	946
NAO-ONT-20250120-Zephyr8-06-div0005	1714
NAO-ONT-20250120-Zephyr8-06-div0006	712
NAO-ONT-20250120-Zephyr8-06-div0007	642
NAO-ONT-20250120-Zephyr8-06-div0008	1642
NAO-ONT-20250120-Zephyr8-06-div0009	985
NAO-ONT-20250120-Zephyr8-06-div0010	1028
NAO-ONT-20250120-Zephyr8-06-div0011	851
NAO-ONT-20250120-Zephyr8-06-div0012	1042
NAO-ONT-20250120-Zephyr8-06-div0013	878
NAO-ONT-20250120-Zephyr8-06-div0014	683
NAO-ONT-20250120-Zephyr8-06-div0015	575
NAO-ONT-20250120-Zephyr8-06-div0016	634
NAO-ONT-20250120-Zephyr8-06-div0017	1452
NAO-ONT-20250120-Zephyr8-06-div0018	827
NAO-ONT-20250120-Zephyr8-06-div0019	818
NAO-ONT-20250120-Zephyr8-06-div0020	796
NAO-ONT-20250120-Zephyr8-06-div0021	512
NAO-ONT-20250120-Zephyr8-06-div0022	1443
NAO-ONT-20250120-Zephyr8-06-div0023	1710
NAO-ONT-20250120-Zephyr8-06-div0024	1247
NAO-ONT-20250120-Zephyr8-06-div0025	1019
NAO-ONT-20250120-Zephyr8-06-div0026	844
NAO-ONT-20250120-Zephyr8-06-div0027	877
NAO-ONT-20250120-Zephyr8-06-div0028	1578
NAO-ONT-20250120-Zephyr8-06-div0029	526
NAO-ONT-20250120-Zephyr8-06-div0030	970
NAO-ONT-20250120-Zephyr8-06-div0031	726
NAO-ONT-20250120-Zephyr8-06-div0032	703
NAO-ONT-20250120-Zephyr8-06-div0033	638
NAO-ONT-20250120-Zephyr8-06-div0034	719
NAO-ONT-20250120-Zephyr8-06-div0035	1184
NAO-ONT-20250120-Zephyr8-06-div0036	1027
NAO-ONT-20250120-Zephyr8-06-div0037	861
NAO-ONT-20250120-Zephyr8-06-div0038	267
NAO-ONT-20250120-Zephyr8-06-div0039	1311
NAO-ONT-20250120-Zephyr8-06-div0040	1383
NAO-ONT-20250120-Zephyr8-06-div0041	1213
NAO-ONT-20250120-Zephyr8-07-div0001	629
NAO-ONT-20250120-Zephyr8-07-div0002	284
NAO-ONT-20250120-Zephyr8-07-div0003	1303
NAO-ONT-20250120-Zephyr8-07-div0004	482
NAO-ONT-20250120-Zephyr8-07-div0005	1141
NAO-ONT-20250120-Zephyr8-07-div0006	273
NAO-ONT-20250120-Zephyr8-07-div0007	272
NAO-ONT-20250120-Zephyr8-07-div0008	1018
NAO-ONT-20250120-Zephyr8-07-div0009	514
NAO-ONT-20250120-Zephyr8-07-div0010	448
NAO-ONT-20250120-Zephyr8-07-div0011	401
NAO-ONT-20250120-Zephyr8-07-div0012	443
NAO-ONT-20250120-Zephyr8-07-div0013	391
NAO-ONT-20250120-Zephyr8-07-div0014	323
NAO-ONT-20250120-Zephyr8-07-div0015	222
NAO-ONT-20250120-Zephyr8-07-div0016	246
NAO-ONT-20250120-Zephyr8-07-div0017	944
NAO-ONT-20250120-Zephyr8-07-div0018	389
NAO-ONT-20250120-Zephyr8-07-div0019	355
NAO-ONT-20250120-Zephyr8-07-div0020	316
NAO-ONT-20250120-Zephyr8-07-div0021	252
NAO-ONT-20250120-Zephyr8-07-div0022	855
NAO-ONT-20250120-Zephyr8-07-div0023	1450
NAO-ONT-20250120-Zephyr8-07-div0024	750
NAO-ONT-20250120-Zephyr8-07-div0025	519
NAO-ONT-20250120-Zephyr8-07-div0026	457
