sample	reads
MJ-2025-01-20-a-BOSDITPN_20250102_S24_L001	65049630
MJ-2025-01-20-a-BOSDITPN_20250102_S24_L002	64200599
MJ-2025-01-20-a-BOSDITPN_20250102_S24_L003	64690772
MJ-2025-01-20-a-BOSDITPN_20250102_S24_L004	61613423
MJ-2025-01-20-a-BOSDITPN_20250102_S24_L005	65949646
MJ-2025-01-20-a-BOSDITPN_20250102_S24_L006	61185888
MJ-2025-01-20-a-BOSDITPN_20250108_S25_L001	73781785
MJ-2025-01-20-a-BOSDITPN_20250108_S25_L002	73084887
MJ-2025-01-20-a-BOSDITPN_20250108_S25_L003	73644281
MJ-2025-01-20-a-BOSDITPN_20250108_S25_L004	69968640
MJ-2025-01-20-a-BOSDITPN_20250108_S25_L005	75416032
MJ-2025-01-20-a-BOSDITPN_20250108_S25_L006	69940171
MJ-2025-01-20-a-BOSDITPS_20250102_S19_L001	70586453
MJ-2025-01-20-a-BOSDITPS_20250102_S19_L002	69833104
MJ-2025-01-20-a-BOSDITPS_20250102_S19_L003	70119127
MJ-2025-01-20-a-BOSDITPS_20250102_S19_L004	66710177
MJ-2025-01-20-a-BOSDITPS_20250102_S19_L005	72035089
MJ-2025-01-20-a-BOSDITPS_20250102_S19_L006	66669254
MJ-2025-01-20-a-BOSDITPS_20250108_S20_L001	84003553
MJ-2025-01-20-a-BOSDITPS_20250108_S20_L002	83006359
MJ-2025-01-20-a-BOSDITPS_20250108_S20_L003	83270028
MJ-2025-01-20-a-BOSDITPS_20250108_S20_L004	79070288
MJ-2025-01-20-a-BOSDITPS_20250108_S20_L005	86477697
MJ-2025-01-20-a-BOSDITPS_20250108_S20_L006	78918766
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L001	65640478
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L002	65725396
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L003	66662142
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L004	66988226
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L005	68450109
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L006	69619449
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L007	67524730
MJ-2025-01-20-b-BOSDITPN_20250102_S24_L008	67720776
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L001	74879633
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L002	75572165
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L003	76853633
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L004	77522547
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L005	78780106
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L006	79814572
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L007	76882320
MJ-2025-01-20-b-BOSDITPN_20250108_S25_L008	77727143
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L001	71303934
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L002	72075788
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L003	73195515
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L004	74075062
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L005	75133254
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L006	75751323
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L007	72855324
MJ-2025-01-20-b-BOSDITPS_20250102_S19_L008	73784406
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L001	84923226
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L002	85988379
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L003	87813517
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L004	89877968
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L005	91533452
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L006	91162280
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L007	86979089
MJ-2025-01-20-b-BOSDITPS_20250108_S20_L008	88287682
MJ-2025-02-12-BOSDITPN_20250115_S4_L001	80055273
MJ-2025-02-12-BOSDITPN_20250115_S4_L002	79493472
MJ-2025-02-12-BOSDITPN_20250115_S4_L003	78707734
MJ-2025-02-12-BOSDITPN_20250115_S4_L004	76493983
MJ-2025-02-12-BOSDITPN_20250115_S4_L005	76688915
MJ-2025-02-12-BOSDITPN_20250115_S4_L006	79753439
MJ-2025-02-12-BOSDITPN_20250115_S4_L007	79014314
MJ-2025-02-12-BOSDITPN_20250115_S4_L008	78651218
MJ-2025-02-12-BOSDITPN_20250122_S5_L001	136953060
MJ-2025-02-12-BOSDITPN_20250122_S5_L002	136186064
MJ-2025-02-12-BOSDITPN_20250122_S5_L003	135521810
MJ-2025-02-12-BOSDITPN_20250122_S5_L004	133335336
MJ-2025-02-12-BOSDITPN_20250122_S5_L005	131022366
MJ-2025-02-12-BOSDITPN_20250122_S5_L006	133950743
MJ-2025-02-12-BOSDITPN_20250122_S5_L007	134892568
MJ-2025-02-12-BOSDITPN_20250122_S5_L008	135305172
MJ-2025-02-12-BOSDITPN_20250129_S6_L001	84190697
MJ-2025-02-12-BOSDITPN_20250129_S6_L002	83627806
MJ-2025-02-12-BOSDITPN_20250129_S6_L003	82483287
MJ-2025-02-12-BOSDITPN_20250129_S6_L004	80149421
MJ-2025-02-12-BOSDITPN_20250129_S6_L005	78341405
MJ-2025-02-12-BOSDITPN_20250129_S6_L006	82621655
MJ-2025-02-12-BOSDITPN_20250129_S6_L007	82622207
MJ-2025-02-12-BOSDITPN_20250129_S6_L008	82642048
MJ-2025-02-12-BOSDITPS_20250115_S7_L001	129423553
MJ-2025-02-12-BOSDITPS_20250115_S7_L002	128091676
MJ-2025-02-12-BOSDITPS_20250115_S7_L003	126220827
MJ-2025-02-12-BOSDITPS_20250115_S7_L004	122935299
MJ-2025-02-12-BOSDITPS_20250115_S7_L005	123500349
MJ-2025-02-12-BOSDITPS_20250115_S7_L006	126791028
MJ-2025-02-12-BOSDITPS_20250115_S7_L007	128227034
MJ-2025-02-12-BOSDITPS_20250115_S7_L008	127516967
MJ-2025-02-12-BOSDITPS_20250122_S8_L001	125558199
MJ-2025-02-12-BOSDITPS_20250122_S8_L002	124486178
MJ-2025-02-12-BOSDITPS_20250122_S8_L003	123344309
MJ-2025-02-12-BOSDITPS_20250122_S8_L004	120748787
MJ-2025-02-12-BOSDITPS_20250122_S8_L005	119847897
MJ-2025-02-12-BOSDITPS_20250122_S8_L006	122693940
MJ-2025-02-12-BOSDITPS_20250122_S8_L007	123420478
MJ-2025-02-12-BOSDITPS_20250122_S8_L008	123297492
MJ-2025-02-12-BOSDITPS_20250129_S9_L001	104463377
MJ-2025-02-12-BOSDITPS_20250129_S9_L002	104000353
MJ-2025-02-12-BOSDITPS_20250129_S9_L003	102327529
MJ-2025-02-12-BOSDITPS_20250129_S9_L004	99453771
MJ-2025-02-12-BOSDITPS_20250129_S9_L005	97044801
MJ-2025-02-12-BOSDITPS_20250129_S9_L006	102044339
MJ-2025-02-12-BOSDITPS_20250129_S9_L007	103215373
MJ-2025-02-12-BOSDITPS_20250129_S9_L008	103620632
MJ-2025-03-01-BOSDITPN_20250205_S16_L001	147770317
MJ-2025-03-01-BOSDITPN_20250205_S16_L002	147927537
MJ-2025-03-01-BOSDITPN_20250205_S16_L003	146799298
MJ-2025-03-01-BOSDITPN_20250205_S16_L004	145485062
MJ-2025-03-01-BOSDITPN_20250205_S16_L005	144856668
MJ-2025-03-01-BOSDITPN_20250205_S16_L006	148061955
MJ-2025-03-01-BOSDITPN_20250205_S16_L007	147030340
MJ-2025-03-01-BOSDITPN_20250205_S16_L008	145355710
MJ-2025-03-01-BOSDITPN_20250212_S17_L001	132867023
MJ-2025-03-01-BOSDITPN_20250212_S17_L002	133114576
MJ-2025-03-01-BOSDITPN_20250212_S17_L003	133134236
MJ-2025-03-01-BOSDITPN_20250212_S17_L004	131740539
MJ-2025-03-01-BOSDITPN_20250212_S17_L005	131672098
MJ-2025-03-01-BOSDITPN_20250212_S17_L006	133319632
MJ-2025-03-01-BOSDITPN_20250212_S17_L007	132432034
MJ-2025-03-01-BOSDITPN_20250212_S17_L008	131451348
MJ-2025-03-01-BOSDITPS_20250205_S18_L001	95628117
MJ-2025-03-01-BOSDITPS_20250205_S18_L002	94827896
MJ-2025-03-01-BOSDITPS_20250205_S18_L003	92011184
MJ-2025-03-01-BOSDITPS_20250205_S18_L004	89596646
MJ-2025-03-01-BOSDITPS_20250205_S18_L005	91616743
MJ-2025-03-01-BOSDITPS_20250205_S18_L006	96959862
MJ-2025-03-01-BOSDITPS_20250205_S18_L007	95757931
MJ-2025-03-01-BOSDITPS_20250205_S18_L008	93785122
MJ-2025-03-01-BOSDITPS_20250212_S19_L001	126259390
MJ-2025-03-01-BOSDITPS_20250212_S19_L002	126351927
MJ-2025-03-01-BOSDITPS_20250212_S19_L003	125898086
MJ-2025-03-01-BOSDITPS_20250212_S19_L004	124948779
MJ-2025-03-01-BOSDITPS_20250212_S19_L005	123566689
MJ-2025-03-01-BOSDITPS_20250212_S19_L006	126208895
MJ-2025-03-01-BOSDITPS_20250212_S19_L007	125606307
MJ-2025-03-01-BOSDITPS_20250212_S19_L008	124611163
