Pathogen	Median WW RA	Geomean (excl. 0 RA samples)	Min WW RA	Max WW RA	WW Presence	Swab Presence
Respiratory Viruses						
Flu B	4.64E-10	2.23E-09	0	4.99E-09	6/12	0/12
H1N1	1.12E-08	9.82E-09	0	2.36E-08	11/12	1/12
H3N2	1.21E-08	1.18E-08	2.96E-09	3.13E-08	12/12	0/12
HCoV-229E	2.27E-09	3.48E-09	0	1.14E-08	8/12	1/12
HCoV-HKU1	4.26E-10	1.30E-09	0	1.90E-09	6/12	1/12
HCoV-NL63	4.36E-09	4.33E-09	8.52E-10	1.52E-08	12/12	4/12
HCoV-OC43	1.56E-08	1.61E-08	5.98E-09	4.55E-08	12/12	5/12
HMPV-1	0	1.23E-09	0	1.23E-09	1/12	0/12
HPIV1	0	1.33E-09	0	1.90E-09	2/12	0/12
HPIV2	0	1.92E-09	0	3.05E-09	3/12	0/12
HPIV4	0	1.27E-09	0	1.90E-09	4/12	1/12
RSV-A	2.81E-09	4.10E-09	0	2.37E-08	10/12	1/12
RSV-B	4.26E-10	2.56E-09	0	1.14E-08	6/12	1/12
Rhinovirus A	2.94E-09	3.26E-09	0	1.23E-08	10/12	3/12
Rhinovirus B	4.64E-10	2.03E-09	0	4.74E-09	6/12	2/12
Rhinovirus C	1.66E-08	1.38E-08	9.97E-10	7.50E-08	12/12	4/12
SARS-CoV-2	1.87E-07	1.59E-07	5.98E-08	3.53E-07	12/12	1/12
Skin Viruses						
Virus Groups						
Coronaviruses (SARS-CoV-2)	1.87E-07	1.59E-07	5.98E-08	3.53E-07	12/12	1/12
Coronaviruses (seasonal)	2.57E-08	2.42E-08	1.02E-08	7.40E-08	12/12	7/12
Influenza	2.07E-08	2.11E-08	2.96E-09	4.78E-08	12/12	1/12
Mononegavirales	4.68E-09	4.65E-09	8.52E-10	3.89E-08	12/12	3/12
Rhinoviruses	2.12E-08	1.64E-08	9.97E-10	9.20E-08	12/12	8/12
