species	group	swab_samples_with_viral_reads	total_swab_viral_reads	q15	median	q85	ratio_q85_q15
SARS-CoV-2	Coronaviruses (SARS-CoV-2)	1	78	9.154625293237484e-4	0.0026645306313747277	0.006574274691543414	7.181369505532714
HCoV-229E	Coronaviruses (seasonal)	1	6008	6.726275480748902e-4	0.001985865905184814	0.004965867660936096	7.382789591578247
HCoV-HKU1	Coronaviruses (seasonal)	1	25	7.980450527365574e-4	0.0025204751113857967	0.006965815185893068	8.728598920583188
HCoV-NL63	Coronaviruses (seasonal)	4	22	0.00834050142791455	0.016964252842550896	0.03621016589562081	4.341485486044064
HCoV-OC43	Coronaviruses (seasonal)	5	160	0.010330155624897377	0.019408918787713156	0.03789197250401314	3.6680930936497456
Flu B	Influenza	0	0	2.1679327329706045e-4	0.0013061543538853836	0.00783420717758796	36.136763186619525
H1N1	Influenza	1	1	0.0013602245002988268	0.005183228752733688	0.020047777990662406	14.738580275725162
H3N2	Influenza	0	0	2.7803685224938625e-4	0.0015699318596557495	0.0094323877552418	33.924955195440724
HMPV-1	Mononegavirales	0	0	1.7599448198762303e-4	0.0010218961500331287	0.006128348041037443	34.82125105188482
HPIV1	Mononegavirales	0	0	1.8728067332472422e-4	0.001105676030931361	0.0070172993457416535	37.469426082073205
HPIV2	Mononegavirales	0	0	2.0725289510369218e-4	0.001184191823202744	0.006821540459511945	32.91409008351373
HPIV4	Mononegavirales	1	3	0.0010986447481699903	0.0037333610843329943	0.012932620703294154	11.771430869565423
RSV-A	Mononegavirales	1	7	8.008594729223628e-4	0.002613187998881907	0.006800507121835383	8.491511122444624
RSV-B	Mononegavirales	1	1	0.0012694110305442752	0.0049550824229838576	0.019916370730313302	15.689457749373675
Rhinovirus A	Rhinoviruses	3	9	0.006017747955705341	0.013973398055468773	0.03328764155902726	5.531577893266156
Rhinovirus B	Rhinoviruses	2	20	0.0024370929016259727	0.0059636626196527265	0.013686600860697538	5.615953684640479
Rhinovirus C	Rhinoviruses	4	100	0.006922491904441415	0.013734283262009643	0.026922889816020132	3.8891905093809678
