species	group	q15	median	q85	ratio_q85_q15
SARS-CoV-2	Coronaviruses (SARS-CoV-2)	2.841792318887777e-7	7.209927165743426e-7	2.11217835943881e-6	7.4325570711144575
HCoV-229E	Coronaviruses (seasonal)	5.452512493761488e-9	1.5045180617106967e-8	4.6584327337631764e-8	8.543644309101792
HCoV-HKU1	Coronaviruses (seasonal)	7.796317338957847e-10	2.448996321134577e-9	8.542375328013509e-9	10.956936405509873
HCoV-NL63	Coronaviruses (seasonal)	1.5748906360516201e-9	3.525319444237195e-9	7.471688561374567e-9	4.744258674435136
HCoV-OC43	Coronaviruses (seasonal)	5.094207626231365e-9	1.0423639783300734e-8	2.041063813121182e-8	4.006636483780574
Flu B	Influenza	1.8017113644074156e-9	1.1273943610493667e-8	7.206933462453493e-8	40.00048845128897
H1N1	Influenza	5.236558818441462e-9	2.104550575772675e-8	8.227376499528305e-8	15.711418098760111
H3N2	Influenza	1.5792193944450672e-8	9.522413776226226e-8	5.376102066883534e-7	34.042781426026494
HMPV-1	Mononegavirales	7.984358660381266e-11	7.270692065706329e-10	6.358988221696622e-9	79.64306830616462
HPIV1	Mononegavirales	3.102941352937252e-10	2.3038004793427863e-9	1.653034735873316e-8	53.2731543349522
HPIV2	Mononegavirales	7.98612193147214e-10	5.1757268215596455e-9	3.4418666532003565e-8	43.098097959617455
HPIV4	Mononegavirales	2.9027418698427694e-10	1.1489595252148647e-9	4.5480469750022045e-9	15.668106841510351
RSV-A	Mononegavirales	7.826201014846138e-9	2.306528830416809e-8	7.894133061086682e-8	10.086800794040018
RSV-B	Mononegavirales	9.659367876842815e-10	4.214995027178907e-9	1.814504040619336e-8	18.784914952554956
Rhinovirus A	Rhinoviruses	1.0860281205096213e-9	2.8203099529135768e-9	7.052061828024733e-9	6.493443120713611
Rhinovirus B	Rhinoviruses	7.605601978579386e-10	2.0068475910732244e-9	5.642390918470877e-9	7.418730212759296
Rhinovirus C	Rhinoviruses	7.589337849450084e-9	1.5791059315614076e-8	3.325642040464362e-8	4.381992350894399
