date	location	assignment	species	group	non_dedup_hv	dedup_hv	all_reads
250108	DNI	Flu B	Flu B	Influenza	6	8	1053867915
250108	DNI	H1N1	H1N1	Influenza	22	46	1053867915
250108	DNI	H3N2	H3N2	Influenza	56	136	1053867915
250108	DNI	HPIV1	HPIV1	Mononegavirales	3	10	1053867915
250108	DNI	HPIV4b	HPIV4	Mononegavirales	4	4	1053867915
250108	DNI	Human coronavirus 229E	HCoV-229E	Coronaviruses (seasonal)	21	42	1053867915
250108	DNI	Human coronavirus HKU1	HCoV-HKU1	Coronaviruses (seasonal)	3	6	1053867915
250108	DNI	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	30	60	1053867915
250108	DNI	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	91	186	1053867915
250108	DNI	RSV-A	RSV-A	Mononegavirales	45	95	1053867915
250108	DNI	RSV-B	RSV-B	Mononegavirales	22	56	1053867915
250108	DNI	Rhinovirus A	Rhinovirus A	Rhinoviruses	5	6	1053867915
250108	DNI	Rhinovirus A1	Rhinovirus A	Rhinoviruses	1	4	1053867915
250108	DNI	Rhinovirus A24	Rhinovirus A	Rhinoviruses	7	14	1053867915
250108	DNI	Rhinovirus A40	Rhinovirus A	Rhinoviruses	7	16	1053867915
250108	DNI	Rhinovirus A54	Rhinovirus A	Rhinoviruses	2	4	1053867915
250108	DNI	Rhinovirus A80	Rhinovirus A	Rhinoviruses	1	2	1053867915
250108	DNI	Rhinovirus B103	Rhinovirus B	Rhinoviruses	5	14	1053867915
250108	DNI	Rhinovirus B3	Rhinovirus B	Rhinoviruses	3	4	1053867915
250108	DNI	Rhinovirus C	Rhinovirus C	Rhinoviruses	75	150	1053867915
250108	DNI	Rhinovirus C1	Rhinovirus C	Rhinoviruses	14	29	1053867915
250108	DNI	Rhinovirus C11	Rhinovirus C	Rhinoviruses	13	26	1053867915
250108	DNI	Rhinovirus C19	Rhinovirus C	Rhinoviruses	12	22	1053867915
250108	DNI	Rhinovirus C2	Rhinovirus C	Rhinoviruses	1	2	1053867915
250108	DNI	Rhinovirus C3	Rhinovirus C	Rhinoviruses	2	14	1053867915
250108	DNI	Rhinovirus C34	Rhinovirus C	Rhinoviruses	5	8	1053867915
250108	DNI	Rhinovirus C44	Rhinovirus C	Rhinoviruses	3	4	1053867915
250108	DNI	Rhinovirus C56	Rhinovirus C	Rhinoviruses	10	20	1053867915
250108	DNI	Rhinovirus C7	Rhinovirus C	Rhinoviruses	2	6	1053867915
250108	DNI	Rhinovirus C8	Rhinovirus C	Rhinoviruses	5	14	1053867915
250108	DNI	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	Coronaviruses (SARS-CoV-2)	312	324	1053867915
250108	DSI	Flu B	Flu B	Influenza	10	16	1201312284
250108	DSI	H1N1	H1N1	Influenza	30	58	1201312284
250108	DSI	H3N2	H3N2	Influenza	52	102	1201312284
250108	DSI	HPIV2	HPIV2	Mononegavirales	6	14	1201312284
250108	DSI	Human coronavirus 229E	HCoV-229E	Coronaviruses (seasonal)	4	10	1201312284
250108	DSI	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	19	26	1201312284
250108	DSI	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	91	158	1201312284
250108	DSI	RSV-A	RSV-A	Mononegavirales	36	84	1201312284
250108	DSI	RSV-B	RSV-B	Mononegavirales	9	20	1201312284
250108	DSI	Rhinovirus A	Rhinovirus A	Rhinoviruses	2	2	1201312284
250108	DSI	Rhinovirus A12	Rhinovirus A	Rhinoviruses	2	2	1201312284
250108	DSI	Rhinovirus A24	Rhinovirus A	Rhinoviruses	3	8	1201312284
250108	DSI	Rhinovirus A40	Rhinovirus A	Rhinoviruses	2	2	1201312284
250108	DSI	Rhinovirus A80	Rhinovirus A	Rhinoviruses	2	4	1201312284
250108	DSI	Rhinovirus B103	Rhinovirus B	Rhinoviruses	4	12	1201312284
250108	DSI	Rhinovirus C	Rhinovirus C	Rhinoviruses	17	20	1201312284
250108	DSI	Rhinovirus C1	Rhinovirus C	Rhinoviruses	2	6	1201312284
250108	DSI	Rhinovirus C11	Rhinovirus C	Rhinoviruses	16	21	1201312284
250108	DSI	Rhinovirus C19	Rhinovirus C	Rhinoviruses	9	24	1201312284
250108	DSI	Rhinovirus C2	Rhinovirus C	Rhinoviruses	5	12	1201312284
250108	DSI	Rhinovirus C36	Rhinovirus C	Rhinoviruses	2	4	1201312284
250108	DSI	Rhinovirus C44	Rhinovirus C	Rhinoviruses	2	2	1201312284
250108	DSI	Rhinovirus C55	Rhinovirus C	Rhinoviruses	2	4	1201312284
250108	DSI	Rhinovirus C7	Rhinovirus C	Rhinoviruses	5	5	1201312284
